,date,number_of_txin,sum_income,industy,btc_addresse,tx_id
0,2011-03-05,1,0.05,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,311051.0
1,2011-03-07,1,0.14,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,315607.0
2,2011-03-08,1,0.24,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,317704.0
3,2011-03-09,1,0.79,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,319462.0
4,2011-03-13,1,5.05,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,328700.0
5,2011-03-16,1,3.93,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,337281.0
6,2011-03-28,1,20.32,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,376326.0
7,2011-04-04,1,17.38,Scam,1CcuZAiTqHUFzSVVJ2mjwEnDKjejm7edUm,389336.0
8,2011-06-28,1,22.85,Scam,1EYDXCpDpb85dTLb8rHBfNWoYbqRaNhNZL,885268.0
9,2011-08-22,1,0.0100005,Scam,1qrx4Stu3qb6pSqRDZbvzBNkJ2aDXMspP,1348890.0
10,2011-10-29,1,0.01,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1766905.0
11,2011-10-30,1,2090.69204733,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1772390.0
12,2011-10-31,17,850.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1773508.0
13,2011-11-01,8,400.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1778340.0
14,2011-11-02,3,200.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1786487.0
15,2011-11-03,7,650.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1794227.0
16,2011-11-04,14,2061.9824563,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1801439.0
17,2011-11-05,8,400.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1802904.0
18,2011-11-06,17,850.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1808838.0
19,2011-11-07,13,650.01618767,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1814543.0
20,2011-11-08,22,1100.00361,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1819665.0
21,2011-11-09,16,750.481,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1825591.0
22,2011-11-10,26,1276.89482997,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1832306.0
23,2011-11-11,16,800.0,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1838771.0
24,2011-11-12,19,903.46624882,miner,1Mining2pfZRiFxGBQ6Jw8YNheUkHhyMfn,1843599.0
